,text,created_at,retweet_count,favorite_count,is_retweet
0,Look at the way Crooked Hillary is handling the e-mail case and the total mess she is in. She is unfit to be president. Bad judgement!,2016-11-01 10:31:00,21459.0,55584.0,False
1,Wow now leading in @ABC /@washingtonpost Poll 46 to 45. Gone up 12 points in two weeks mostly before the Crooked Hillary blow-up!,2016-11-01 11:55:00,16479.0,39631.0,False
2,Crooked Hillary should not be allowed to run for president. She deleted 33000 e-mails AFTER getting a subpoena from U.S. Congress. RIGGED!,2016-11-01 12:01:00,23747.0,59656.0,False
3,JOIN ME TOMORROW IN FLORIDA!MIAMI•12pmhttps://t.co/A3X71Q6sG2ORLANDO•4pmhttps://t.co/6BqTVoty5CPENSACOLA•7p… https://t.co/kNzrAeuLZO,2016-11-01 13:35:00,8773.0,17583.0,False
4,So terrible that Crooked didn't report she got the debate questions from Donna Brazile if that were me it would have been front page news!,2016-11-01 14:14:00,32713.0,80724.0,False
5,#ICYMI: Governor @mike_pence and I were in Valley Forge Pennsylvania today. You can watch it here:… https://t.co/6GWgmCV23Z,2016-11-01 17:24:00,7662.0,20695.0,False
6,.@DarrellIssa is a very good man. Help him win his congressional seat in California.,2016-11-01 18:44:00,10566.0,24122.0,False
7,'Kept me out of jail': Top DOJ official involved in Clinton probe represented her campaign chairman: https://t.co/QUZn97CEOq,2016-11-01 21:15:00,10856.0,18787.0,False
8,Trump promises special session to repeal Obamacare: https://t.co/wTCd108yrV,2016-11-01 21:16:00,8479.0,18654.0,False
9,Hillary Advisers Wanted Her To Avoid Supporting Israel When Talking To Democrats: https://t.co/y7m8iVU173,2016-11-01 21:20:00,9122.0,15925.0,False
10,Mika Brzezinski: Dem Criticism of Comey Reinforcing Idea ‘There’s Something There'https://t.co/EvBp0xESPN https://t.co/QIDBiDpat8,2016-11-01 21:28:00,10619.0,21633.0,False
11,'Podesta urged Clinton team to hand over emails after use of private server emerged' https://t.co/NYvVmoA8wl,2016-11-01 21:46:00,8363.0,17037.0,False
12,WikiLeaks emails reveal Podesta urging Clinton camp to 'dump' emails. Time to #DrainTheSwamp!https://t.co/P3ajiACiXK,2016-11-01 21:57:00,14276.0,25817.0,False
14,Thank you for your incredible support Wisconsin and Governor @ScottWalker! It is time to #DrainTheSwamp &amp; #MAGA!… https://t.co/gKBkKmTudn,2016-11-02 00:32:00,12686.0,32053.0,False
15,Join me in Florida tomorrow!MIAMI•12pmhttps://t.co/A3X71Q6sG2ORLANDO•4pmhttps://t.co/6BqTVoty5CPENSACOLA•7p… https://t.co/kEQuuJeO1B,2016-11-02 03:43:00,8314.0,18853.0,False
16,You can change your vote in six states. So now that you see that Hillary was a big mistake change your vote to MAKE AMERICA GREAT AGAIN!,2016-11-02 10:35:00,25391.0,58439.0,False
17,I am going to repeal and replace ObamaCare. We will have MUCH less expensive and MUCH better healthcare. With Hillary costs will triple!,2016-11-02 11:00:00,17346.0,50902.0,False
18,Crooked Hillary Clinton deleted 33000 e-mails AFTER they were subpoenaed by the United States Congress. Guilty - cannot run. Rigged system!,2016-11-02 12:47:00,18560.0,48458.0,False
19,@Ravenrantz: #Billygraham's grand daughter #SupportsTrump https://t.co/sKz1SPHzDZ  So nice thank you Cissy Graham Lynch!!!!,2016-11-02 13:11:00,7941.0,19199.0,False
20,@PYNance: Evangelical women live at #trumptower @pdpryor1 @CissieGLynch @SaysGabrielle https://t.co/k5kGXPR2WA,2016-11-02 13:18:00,7415.0,19867.0,False
21,Praying for the families of the two Iowa police who were ambushed this morning. An attack on those who keep us safe is an attack on us all.,2016-11-02 14:37:00,30246.0,87203.0,False
22,Thank you Miami! In 6 days we are going to WIN the GREAT STATE of FLORIDA - and we are going to win back the White… https://t.co/MKYPOp0MeD,2016-11-02 17:15:00,12418.0,33103.0,False
23,It pays to have friends in high places- like the Justice Department. Clearly the Clintons do. #DrainTheSwamp! https://t.co/KZXB4B156M,2016-11-02 18:57:00,11159.0,21905.0,False
24,Clinton camp fumed when surrogate told supporters Clinton planned to betray labor on TPP post-election: https://t.co/ZZjbGDZP7e,2016-11-02 18:58:00,9997.0,19222.0,False
25,After decades of lies and scandal Crooked Hillary's corruption is closing in. #DrainTheSwamp! https://t.co/YivCacmkKq,2016-11-02 19:09:00,26356.0,48200.0,False
26,Thank you Orlando Florida! We are just six days away from delivering justice for every forgotten man woman and ch… https://t.co/LPXBQZ5AXt,2016-11-02 21:30:00,16514.0,45532.0,False
27,#MakeAmericaGreatAgain #6Days https://t.co/eHTGIEpFsm,2016-11-02 23:34:00,17821.0,37250.0,False
29,Thank you Arlene! We will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #DrainTheSwamp https://t.co/tSI0YP2LL9,2016-11-03 03:55:00,11009.0,28978.0,False
30,My wife Melania will be speaking in Pennsylvania this afternoon. So exciting big crowds! I will be watching from North Carolina.,2016-11-03 12:27:00,12052.0,46156.0,False
31,ObamaCare is a total disaster. Hillary Clinton wants to save it by making it even more expensive. Doesn't work I will REPEAL AND REPLACE!,2016-11-03 12:34:00,15563.0,45972.0,False
32,Looking at Air Force One @ MIA. Why is he campaigning instead of creating jobs &amp; fixing Obamacare? Get back to work for the American people!,2016-11-03 15:19:00,30048.0,73759.0,False
33,Watching my beautiful wife Melania speak about our love of country and family. We will make you all very proud.… https://t.co/DiKmSnTlC2,2016-11-03 19:25:00,16768.0,55454.0,False
34,Thank you Concord North Carolina! When WE win on November 8th we are going to Washington D.C. and we are going t… https://t.co/7j4MBn1Waf,2016-11-03 20:52:00,12262.0,33150.0,False
35,#CrookedHillary is unfit to serve. https://t.co/bSuGvInNF1,2016-11-03 20:55:00,19868.0,36448.0,False
36,Join me in Wilmington Ohio tomorrow at 4:00pm! It is time to #DrainTheSwamp! Tickets: https://t.co/eCLECM3nmW https://t.co/sb5irRxjxJ,2016-11-03 21:28:00,6414.0,18628.0,False
38,There is no challenge too great no dream outside of our reach! Thank you Selma North Carolina!#ICYMI watch here… https://t.co/8uIrhgYRsl,2016-11-04 02:35:00,11856.0,31783.0,False
