\f0\fs24 \cf0 source,text,created_at,retweet_count,favorite_count,is_retweet,id_str\
Twitter for iPhone,Wow! All of our priorities have made it into the final NDAA: Pay Raise for our Troops Rebuilding our Military Paid Parental Leave Border Security and Space Force! Congress \'96 don\'92t delay this anymore! I will sign this historic defense legislation immediately!,12/11/2019 15:17,15048,56418,FALSE,1204782262912503808\
Twitter for iPhone,\'93Zero evidence that any law was broken. They\'92re not even alleging that a law was broken. This is an abuse of the Constitution. It is using Impeachment as a campaign tool.\'94 @SenTedCruz,12/11/2019 14:59,12321,42060,FALSE,1204777624964403200\
Twitter for iPhone,RT @parscale: If the Democrat controlled House does not immediately investigate the FBI abuse found in the IG report it is clear evidence t\'85,12/11/2019 14:41,15172,0,TRUE,1204773195557019648\
Twitter for iPhone,RT @BuckSexton: Now we know the FBI is shockingly incompetent reckless and dumb even when dealing with cases at the highest level of natio\'85,12/11/2019 14:40,15773,0,TRUE,1204773030590910464\
Twitter for iPhone,RT @BuckSexton: Maybe it\'92s worth noting that the guy leading the impeachment charge right now against Trump was- as a matter of established\'85,12/11/2019 14:40,4087,0,TRUE,1204772906363953152\
Twitter for iPhone,RT @BuckSexton: The absurd pretense that Democrats in Congress are impeaching Trump because of \'93the Constitution\'94 and not their rage at Tru\'85,12/11/2019 14:39,4237,0,TRUE,1204772717058240513\
Twitter for iPhone,RT @BuckSexton: Let\'92s all be very clear: what Nadler implied today is unless Trump is impeached and removed from office we should all exp\'85,12/11/2019 14:38,6722,0,TRUE,1204772336211238912\
Twitter for iPhone,RT @BuckSexton: It\'92s really innovative how Adam Schiff and Jerry Nadler plan to protect the sanctity of our elections by insisting the last\'85,12/11/2019 14:37,5154,0,TRUE,1204772320004464642\
Twitter for iPhone,RT @ByronYork: Horowitz fallout. AG Bill Barr to NBC: 'I think our nation was turned on its head for three years based on a completely bogu\'85,12/11/2019 14:36,9021,0,TRUE,1204772070929899522\
Twitter for iPhone,RT @BuckSexton: Quite an odd thing for Democrats and media to pat themselves on the back for perpetrating a Russia-collusion hoax for 3 yea\'85,12/11/2019 14:36,3726,0,TRUE,1204772006350200841\
Twitter for iPhone,RT @MZHemingway: Can't get over how IG report showed the DOJ/FBI knew dossier was complete bunk by January 2017 and yet they kept suggestin\'85,12/11/2019 14:28,13125,0,TRUE,1204769882220445698\
